taxon_id,taxon_rank,taxon_name
ORTLIG,species,Orthocladius lignicola
MOLSP6,genus,Molophilus sp.
ORMSP,genus,Ormosia sp.
EUKCOE,speciesGroup,Eukiefferiella coerulescens gr.
ZAPFRI,species,Zapada frigida
PROSP34,genus,Protanypus sp.
ZAISP,genus,Zaitzevia sp.
SYNSP3,genus,Synorthocladius sp.
BORSP3,genus,Boreochlus sp.
AMESP4,genus,Ametor sp.
LEPSP20,genus,Lepidostoma sp.
SERSP6,genus,Sergentia sp.
WIESP,genus,Wiedemannia sp.
PSESP14,genus,Psectrotanypus sp.
METSP4,genus,Metriocnemus sp.
DIXSP1,genus,Dixa sp.
